case,compute_nodes,tensors,edges,components,pipe_m_cycles,pipe_v_cycles,critical_path_cycles,original_boundary_bytes,io_compute_ratio,sha256
case_001,600,1202,400,200,232800,30400,1316,1639552,0.1173791523482245,a634cd1151c0e918dd3a143eba421b88907f7f0334bfe6a5ca0412342307f09f
case_002,1798,2595,1797,1,240000,35928,2976,1224192,0.08501333333333333,578fceeb9f66a3c083b9f27d8464cf75c1e7602cbc7290920c02aa1aef7ca352
case_003,13455,13868,20540,10,438792,325189,28285,1284264,0.048780287698955316,2c80acfd37edcf811ce76b7e7b1f7194c706bd4d4aa6449e6a19e9eac1028ced
case_004,777,1116,777,111,385614,47952,2748,792576,0.034256017675706796,3e01adde3c4ad143ab3d7faabcf36d849f26b5428e7c8446a7e9f89345a55faa
case_005,4113,4298,6258,1,63882,60930,6894,333414,0.08698694467925236,c2b378c882a3039e3d66bac6cbcba39317107339b6f38d5bce1b09379839799f
case_006,678,982,695,27,18660,69000,2836,543348,0.13124347826086954,c68392cd599b63039669ca54360ab21b514c41285151cd69180ee9be99af1a48
case_007,3885,5556,3885,555,979020,253080,1632,1732608,0.029495618067046637,6e786044ca1fa5d4632f8b7d03e95364da8d88f4fff5e403d3ab8153da84b518
case_008,864,1836,972,108,250128,237168,4512,2654424,0.17687104202648243,c93bb7ab5deec5112aff0cc001fbd76d001d3de5ea7463fba59b1f1ff2ba3e1d
case_009,5671,6376,8056,25,65160,119992,9965,495332,0.0688006978242994,06b73d07c450878db8f6dace8ed08e362b45f5dd6e06fb80b098f165190f222a
case_010,667,889,700,36,44610,55496,3146,384150,0.11536867521983567,fd0b07588473d8b2ce05fab4798808cbc7f60cf1638e05608adc3d62061b8775
case_011,688,1056,672,16,184448,25536,2120,606208,0.054776775387462416,2da7df4ccc8a4eb86347f0a567aacac628e7d30ab943cd99996f2c74620d80b9
case_012,972,1555,986,50,35572,32237,2506,554898,0.25998819296075565,1a07d3a4c6d1305bec2fbdc4d106fb5c0078ec098cbf09e1b8eaa5134968e079
case_013,1968,4190,1722,246,263712,43296,400,2527232,0.15972171662015128,b95d97cf90bdd0fe64a0fd1ecd5a36a7b091ecadef204ef8c6ae430f6ccfac3c
case_014,35705,40287,34509,1340,17225748,1651424,31968,9932740,0.009610361574235653,e27abb053ac57786e510ba80e60a6ec60a8b0df11b2a818010a1df17c29d94dd
case_015,1013,1501,1063,46,94980,101497,7913,884614,0.14526110788167795,d27dfc39289fa442f29f597191ab6b05142ce6ad68b4396056b2adccb9c93253
case_016,17995,18020,21338,1,0,7714975,655140,393218,0.0008494691600858503,76537aa7163cf0748adcff2ecbd84fbc9a02a2d129ffcecd2bfebb89685e71ef
case_017,1373,2015,1428,60,110600,67202,5980,643862,0.09702561784207353,282c5840d8e8581fb7827a6d4c996f90384bdfe566ffa665574721568b9dc85c
case_018,2727,3717,2653,126,971320,112731,3539,1592848,0.027331329187771966,70cf2a124573fe0ccad84b16d902efe7e28938761db791d2f4321ab2e98f0c0a
case_019,647,854,694,31,48436,40276,12234,186984,0.06434057312742589,199ccf5f40c65b63ef88efcf05a0ccbf6b9368963d7a62cabd240d7b98847429
case_020,7008,7872,8064,288,0,532608,1824,2359296,0.0738284066330209,932287c2c204e475df824a3914b7b179226625caf37ae288bac90716ffe16ec4
case_021,3920,4900,3840,80,6192000,783360,5544,3338240,0.00898535745047373,d1b1b8a543eab9b359421f0d67baaee43f2890b2562bf2bfa1dfeb5fa5f87b37
case_022,1356,1705,1483,32,4484,54087,1986,213686,0.06584638329604772,b93af0605cda612b707a91a1e9fc76348b527284a03e779b65cbe55813e331e7
case_023,1011,1336,1123,43,63384,69558,4218,443444,0.10625281539626404,73e1a5d3abe5f7b36fb7a386d586e8ed492f7fae5e7a736c475b629ab6e12739
case_024,5959,5984,7058,1,0,2554795,216948,393218,0.0025652286517443995,f974fbf1a23b4a145b5f8c9c691eb1b247f93d8785d98bb46a9cdd8626399aec
case_025,18662,26666,18662,2666,4702824,1215696,1632,8217600,0.029122926990250965,f27ba0f332109eb62541879ddbc9c9d283531c191afdd7299a365134af3e0deb
case_026,636,871,679,31,40992,70768,4319,528854,0.12455111538171679,0ed6209c59170dc0da94703702b17402cee14c1a61624e666ed8938637b6765b
case_027,1424,2160,1408,16,2229120,287232,21048,2039808,0.015251220212460524,74ff3486f7a3fd5561250ac336ed57e02a998f4f34d3be742e9f3dceb98d402b
case_028,19584,20151,23103,153,38974608,1975536,246816,5908608,0.0025266912241939674,89fe60e6529c5c02cf6ffd700254e003b1f51ceafc252140ef64add47ad2e212
case_029,861,1281,924,21,0,37485,407,430164,0.19126050420168067,997bcbaa3acdff628346af91df1c6ce0127372b10c71890967ec9dd685b7187b
case_030,10070,11940,9584,486,2776480,406822,1494,2394060,0.014371074165850286,ad80a952c48ff4d7c339349167fa9054e515009787692608863240a3546c0f90
