q,mechanism,selected_slots,seed_comparisons,positive_improvements,mean_fraction_saved
1,budget_0.05,71,71,71,0.22982672473198681
1,budget_0.10,35,35,35,0.25424298806262163
1,fine,27,27,0,0.0
1,inherit_previous_core,28,28,28,0.3039770971966786
1,local,218,218,218,0.14551495083627158
1,whole_graph,121,21,21,0.49252717192385503
2,a2_b1,190,190,0,0.0
2,a4_b0,89,89,89,0.27997690950812903
2,inherit_previous_core,14,14,14,0.15258393116013433
2,pipeline_finish,10,10,10,0.026224652884914046
2,release_order_4,2,2,2,0.0419662579199247
2,release_order_8,23,23,23,0.04146053847919079
2,traffic_price,72,72,68,0.0696372593867775
2,whole_graph,100,0,0,
3,a2_b1,162,162,0,0.0
3,a4_b0,95,95,95,0.26140703067103666
3,cache_order_1,23,23,23,0.00863838392890393
3,cache_order_2,7,7,7,0.0034565813335684726
3,cache_price,28,28,27,0.06552685807958794
3,inherit_previous_core,6,6,6,0.08542650730895646
3,pipeline_finish,6,6,6,0.017506677599140468
3,release_order_4,2,2,2,0.0330338396040008
3,release_order_8,31,31,31,0.03504646657535506
3,traffic_price,40,40,35,0.06027976953933258
3,whole_graph,100,0,0,
