q,k,comparison,cases,mean_ratio,median_ratio,min_ratio,worst_case,faster,equal,slower
1,1,单核基准,100,1.0,1.0,1.0,case_001,0,100,0
1,2,单核基准,100,1.772194977680517,1.9370895663255334,1.0,case_047,94,6,0
1,3,单核基准,100,2.441022820676201,2.736787860037892,1.0,case_047,95,5,0
1,4,单核基准,100,3.0662559899277286,3.4304842027610807,1.0,case_047,95,5,0
1,5,单核基准,100,3.555913640904961,3.8293168649766463,1.0,case_047,95,5,0
2,1,单核基准,100,1.0,1.0,1.0,case_001,0,100,0
2,2,单核基准,100,1.990666536827718,1.9983988909107089,1.4821102269378132,case_069,100,0,0
2,3,单核基准,100,2.810163420462541,2.952237949149709,1.5318630437431462,case_069,100,0,0
2,4,单核基准,100,3.565285581108497,3.8191276338968194,1.609731113956466,case_069,100,0,0
2,5,单核基准,100,4.166085152383558,4.504463522411741,1.6990489734245844,case_064,100,0,0
3,1,L2共同候选池,100,1.0086217156663206,1.0,1.0,case_001,25,75,0
3,2,L2共同候选池,100,1.0049156556130228,1.0001336502027969,1.0,case_001,54,46,0
3,3,L2共同候选池,100,1.0117140670055926,1.000638213395796,1.0,case_001,63,37,0
3,4,L2共同候选池,100,1.0193496818963659,1.0012798415871214,1.0,case_001,58,42,0
3,5,L2共同候选池,100,1.0299586938679164,1.0062148735909089,1.0,case_001,70,30,0
3,1,L2同方案,100,1.0086217156663206,1.0,1.0,case_001,25,75,0
3,2,L2同方案,100,1.006290537727918,1.0002720178714337,1.0,case_001,57,43,0
3,3,L2同方案,100,1.015648044729581,1.0011320413535614,0.99966061177687,case_072,67,32,1
3,4,L2同方案,100,1.0269090873610347,1.0017556924733766,1.0,case_001,62,38,0
3,5,L2同方案,100,1.0414814411359001,1.0077994755544948,1.0,case_001,71,29,0
