case,k,capacity_bytes,bandwidth,makespan,added_copy_bytes,hit_bytes,miss_bytes,time_over_official,actual_call,wall_s
case_002,4,262144,60,72564,841728,0,1643520,1.0,1,0.2632932000005894
case_002,4,262144,250,72564,841728,0,1643520,1.0,1,0.269279799999822
case_002,4,262144,500,72564,841728,0,1643520,1.0,1,0.2519107999996777
case_002,4,1048576,60,72564,841728,0,1643520,1.0,1,0.2740499000001364
case_002,4,1048576,250,72564,841728,0,1643520,1.0,0,3.7999998312443495e-06
case_002,4,1048576,500,72564,841728,0,1643520,1.0,1,0.32286739999926795
case_002,4,4194304,60,72564,841728,0,1643520,1.0,1,0.28990539999995235
case_002,4,4194304,250,72564,841728,0,1643520,1.0,1,0.2697651999997106
case_002,4,4194304,500,72564,841728,0,1643520,1.0,1,0.2559614000001602
case_003,4,262144,60,220702,10329558,1941260,5212462,1.0109893130190606,1,6.792320699999436
case_003,4,262144,250,218461,10329558,1904076,5249646,1.000723764675703,1,6.869228700000349
case_003,4,262144,500,218098,10329558,1919404,5234318,0.9990609382372208,1,6.994369000000006
case_003,4,1048576,60,220506,10329558,2054380,5099342,1.010091478358062,1,7.085756000000401
case_003,4,1048576,250,218303,10329558,2024940,5128782,1.0,0,6.859999939479167e-05
case_003,4,1048576,500,217989,10329558,2039084,5114638,0.9985616322267674,1,7.342407600000115
case_003,4,4194304,60,220506,10329558,2054380,5099342,1.010091478358062,1,7.270886299999802
case_003,4,4194304,250,218303,10329558,2024940,5128782,1.0,1,7.086202800000137
case_003,4,4194304,500,217989,10329558,2039084,5114638,0.9985616322267674,1,7.189982099999725
case_005,4,262144,60,51562,2133456,321400,1190254,1.0055972696245734,1,1.0919592999998713
case_005,4,262144,250,51305,2133456,322408,1189246,1.0005850804485616,1,1.0086510000000999
case_005,4,262144,500,51274,2133456,321336,1190318,0.9999804973183812,1,1.0230893999996624
case_005,4,1048576,60,51539,2133456,324572,1187082,1.0051487079473427,1,0.9735565000000861
case_005,4,1048576,250,51275,2133456,325580,1186074,1.0,0,2.7999994927085936e-06
case_005,4,1048576,500,51228,2133456,324508,1187146,0.99908337396392,1,0.98609260000012
case_005,4,4194304,60,51539,2133456,324572,1187082,1.0051487079473427,1,0.9328408999999738
case_005,4,4194304,250,51275,2133456,325580,1186074,1.0,1,1.003318500000205
case_005,4,4194304,500,51228,2133456,324508,1187146,0.99908337396392,1,0.9529967999997098
case_016,4,262144,60,2238955,15848,1216,399924,1.0,1,5.698697900001207
case_016,4,262144,250,2238955,15848,1216,399924,1.0,1,7.283485500000097
case_016,4,262144,500,2238955,15848,1216,399924,1.0,1,6.017179000000397
case_016,4,1048576,60,2238955,15848,1216,399924,1.0,1,5.686955400000443
case_016,4,1048576,250,2238955,15848,1216,399924,1.0,0,0.00018989999989571515
case_016,4,1048576,500,2238955,15848,1216,399924,1.0,1,5.9152381000003516
case_016,4,4194304,60,2238955,15848,1216,399924,1.0,1,5.477583400001095
case_016,4,4194304,250,2238955,15848,1216,399924,1.0,1,6.202545199999804
case_016,4,4194304,500,2238955,15848,1216,399924,1.0,1,6.008395900000323
case_024,4,262144,60,743023,5240,400,395436,1.0,1,1.3303211000002193
case_024,4,262144,250,743023,5240,400,395436,1.0,1,1.3535998000006657
case_024,4,262144,500,743023,5240,400,395436,1.0,1,1.3153050000000803
case_024,4,1048576,60,743023,5240,400,395436,1.0,1,1.3769280000005892
case_024,4,1048576,250,743023,5240,400,395436,1.0,0,3.000000106112566e-06
case_024,4,1048576,500,743023,5240,400,395436,1.0,1,1.387527100000625
case_024,4,4194304,60,743023,5240,400,395436,1.0,1,1.3441431999999622
case_024,4,4194304,250,743023,5240,400,395436,1.0,1,1.4051946000008684
case_024,4,4194304,500,743023,5240,400,395436,1.0,1,1.5793102999996336
case_029,4,262144,60,11028,0,0,258132,1.0,1,0.10522630000014033
case_029,4,262144,250,11028,0,0,258132,1.0,1,0.08659039999929519
case_029,4,262144,500,11028,0,0,258132,1.0,1,0.08603599999969447
case_029,4,1048576,60,11028,0,0,258132,1.0,1,0.10233250000055705
case_029,4,1048576,250,11028,0,0,258132,1.0,0,3.099999958067201e-06
case_029,4,1048576,500,11028,0,0,258132,1.0,1,0.08214119999956893
case_029,4,4194304,60,11028,0,0,258132,1.0,1,0.08246830000007321
case_029,4,4194304,250,11028,0,0,258132,1.0,1,0.08498779999990802
case_029,4,4194304,500,11028,0,0,258132,1.0,1,0.09889029999976628
case_051,4,262144,60,178382,1236,92,393742,1.0,1,0.2370967999995628
case_051,4,262144,250,178382,1236,92,393742,1.0,1,0.23293910000029427
case_051,4,262144,500,178382,1236,92,393742,1.0,1,0.20860050000010233
case_051,4,1048576,60,178382,1236,92,393742,1.0,1,0.2536080999998376
case_051,4,1048576,250,178382,1236,92,393742,1.0,0,6.599999323952943e-06
case_051,4,1048576,500,178382,1236,92,393742,1.0,1,0.2792894999993223
case_051,4,4194304,60,178382,1236,92,393742,1.0,1,0.2091525999994701
case_051,4,4194304,250,178382,1236,92,393742,1.0,1,0.22371839999959775
case_051,4,4194304,500,178382,1236,92,393742,1.0,1,0.21419289999994362
case_059,4,262144,60,185216,1081344,0,2162688,1.0,1,0.3952766000002157
case_059,4,262144,250,185216,1081344,0,2162688,1.0,1,0.4334823999997752
case_059,4,262144,500,185216,1081344,0,2162688,1.0,1,0.484620499999437
case_059,4,1048576,60,185216,1081344,0,2162688,1.0,1,0.48401840000042284
case_059,4,1048576,250,185216,1081344,0,2162688,1.0,0,3.1999998100218363e-06
case_059,4,1048576,500,185216,1081344,0,2162688,1.0,1,0.42881889999989653
case_059,4,4194304,60,185216,1081344,0,2162688,1.0,1,0.4485477999996874
case_059,4,4194304,250,185216,1081344,0,2162688,1.0,1,0.4816338000000542
case_059,4,4194304,500,185216,1081344,0,2162688,1.0,1,0.47210010000071634
case_069,4,262144,60,14504,545324,108566,325916,0.9934246575342466,1,0.1907775000008769
case_069,4,262144,250,14600,545324,100886,333596,1.0,1,0.1532643000000462
case_069,4,262144,500,14538,545324,101654,332828,0.9957534246575342,1,0.15932109999994282
case_069,4,1048576,60,14504,545324,110102,324380,0.9934246575342466,1,0.15667880000000878
case_069,4,1048576,250,14600,545324,102422,332060,1.0,0,2.6999996407539584e-06
case_069,4,1048576,500,14538,545324,103190,331292,0.9957534246575342,1,0.15561759999945934
case_069,4,4194304,60,14504,545324,110102,324380,0.9934246575342466,1,0.19875190000038856
case_069,4,4194304,250,14600,545324,102422,332060,1.0,1,0.15172640000037063
case_069,4,4194304,500,14538,545324,103190,331292,0.9957534246575342,1,0.15997100000004139
case_071,4,262144,60,10456,455246,78026,316842,1.0159347065682083,1,0.10562490000029356
case_071,4,262144,250,10292,455246,84938,309930,1.0,1,0.10997390000011364
case_071,4,262144,500,10328,455246,84938,309930,1.0034978624174116,1,0.11648070000046573
case_071,4,1048576,60,10456,455246,78026,316842,1.0159347065682083,1,0.11315550000017538
case_071,4,1048576,250,10292,455246,84938,309930,1.0,0,3.2999996619764715e-06
case_071,4,1048576,500,10328,455246,84938,309930,1.0034978624174116,1,0.10816819999945437
case_071,4,4194304,60,10456,455246,78026,316842,1.0159347065682083,1,0.09979310000016994
case_071,4,4194304,250,10292,455246,84938,309930,1.0,1,0.11528670000006969
case_071,4,4194304,500,10328,455246,84938,309930,1.0034978624174116,1,0.12192569999933767
case_075,4,262144,60,415678,11764946,2091788,6475436,1.0011150849559867,1,3.6810789000001023
case_075,4,262144,250,415559,11764946,2091116,6476108,1.0008284864467807,1,3.2313627999992605
case_075,4,262144,500,415376,11764946,2076860,6490364,1.00038775092422,1,3.023895799999991
case_075,4,1048576,60,415167,11764946,2289900,6277324,0.9998843972399841,1,3.148744799999804
case_075,4,1048576,250,415215,11764946,2231292,6335932,1.0,0,4.600000465870835e-06
case_075,4,1048576,500,414940,11764946,2236940,6330284,0.9993376925207422,1,3.5858368999997765
case_075,4,4194304,60,415167,11764946,2289900,6277324,0.9998843972399841,1,3.2629356000006737
case_075,4,4194304,250,415215,11764946,2231292,6335932,1.0,1,3.2452174999998533
case_075,4,4194304,500,414940,11764946,2236940,6330284,0.9993376925207422,1,3.259255099999791
case_078,4,262144,60,530628,7410912,723960,8340840,1.0,1,0.11378340000010212
case_078,4,262144,250,530628,7410912,723960,8340840,1.0,1,0.15039189999970404
case_078,4,262144,500,530628,7410912,723960,8340840,1.0,1,0.12633830000049784
case_078,4,1048576,60,530628,7410912,723960,8340840,1.0,1,0.14177310000013676
case_078,4,1048576,250,530628,7410912,723960,8340840,1.0,0,3.000000106112566e-06
case_078,4,1048576,500,530628,7410912,723960,8340840,1.0,1,0.13362980000056268
case_078,4,4194304,60,530628,7410912,723960,8340840,1.0,1,0.11485319999974308
case_078,4,4194304,250,530628,7410912,723960,8340840,1.0,1,0.14856589999999414
case_078,4,4194304,500,530628,7410912,723960,8340840,1.0,1,0.14038669999990816
case_083,4,262144,60,238863,5510944,1515552,3819872,1.0130241908122413,1,1.07391860000007
case_083,4,262144,250,235792,5510944,1038368,4297056,1.0,1,0.8998305999994045
case_083,4,262144,500,235789,5510944,1038368,4297056,0.9999872769220329,1,0.7739196000002266
case_083,4,1048576,60,238863,5510944,1538080,3797344,1.0130241908122413,1,0.8486192999998821
case_083,4,1048576,250,235792,5510944,1060896,4274528,1.0,0,0.00012370000058581354
case_083,4,1048576,500,235789,5510944,1060896,4274528,0.9999872769220329,1,0.8549833999995826
case_083,4,4194304,60,238863,5510944,1568800,3766624,1.0130241908122413,1,0.9183807999997953
case_083,4,4194304,250,235792,5510944,1091616,4243808,1.0,1,0.8466223999994327
case_083,4,4194304,500,235789,5510944,1091616,4243808,0.9999872769220329,1,0.9116446999996697
case_085,4,262144,60,956804,26378962,2665498,12933790,1.0009823562950835,1,11.608988699999827
case_085,4,262144,250,955957,26378962,2615274,12984014,1.0000962479011157,1,13.238821999999345
case_085,4,262144,500,955964,26378962,2573738,13025550,1.0001035711109831,1,10.839060599999357
case_085,4,1048576,60,956372,26378962,3084460,12514828,1.0005304096289749,1,12.061367599999357
case_085,4,1048576,250,955865,26378962,2974956,12624332,1.0,0,0.0003889999989041826
case_085,4,1048576,500,955832,26378962,2961196,12638092,0.9999654762963389,1,10.74256239999886
case_085,4,4194304,60,956365,26378962,3141804,12457484,1.0005230864191073,1,12.635727399998359
case_085,4,4194304,250,955801,26378962,3040492,12558796,0.9999330449383542,1,12.746614699999554
case_085,4,4194304,500,955805,26378962,3023148,12576140,0.9999372296297071,1,12.14088289999927
case_086,4,262144,60,60253,2533746,292398,1427850,0.9938475241645499,1,1.3238799999999173
case_086,4,262144,250,60484,2533746,274398,1445850,0.9976577705934747,1,1.3570890000000873
case_086,4,262144,500,60596,2533746,272430,1447818,0.9995051628014383,1,1.5142469000002166
case_086,4,1048576,60,60471,2533746,303248,1417000,0.9974433411407647,1,1.436746299999868
case_086,4,1048576,250,60626,2533746,285248,1435000,1.0,0,0.00011409999933675863
case_086,4,1048576,500,60670,2533746,283312,1436936,1.000725761224557,1,1.3859700999992128
case_086,4,4194304,60,60471,2533746,303248,1417000,0.9974433411407647,1,1.464043799999672
case_086,4,4194304,250,60626,2533746,285248,1435000,1.0,1,1.524008800000047
case_086,4,4194304,500,60670,2533746,283312,1436936,1.000725761224557,1,1.815289400000438
case_087,4,262144,60,1202039,34952996,7186918,23067226,1.010791233814831,1,17.728640400000586
case_087,4,262144,250,1199161,34952996,7070950,23183194,1.0083711316626387,1,15.996887600000264
case_087,4,262144,500,1200046,34952996,7099190,23154954,1.009115325687896,1,16.26832480000121
case_087,4,1048576,60,1196214,34952996,11041112,19213032,1.0058930076033925,1,16.458096899999873
case_087,4,1048576,250,1189206,34952996,10990712,19263432,1.0,0,0.0005043999990448356
case_087,4,1048576,500,1188390,34952996,10983928,19270216,0.9993138278817968,1,17.26311969999915
case_087,4,4194304,60,1192144,34952996,13372942,16881202,1.0024705559844131,1,17.302282399999967
case_087,4,4194304,250,1183335,34952996,13145422,17108722,0.9950630925171922,1,17.040492399999494
case_087,4,4194304,500,1181215,34952996,13164990,17089154,0.9932803904453896,1,17.143287200000486
case_089,4,262144,60,178160,716160,0,1118720,1.0,1,0.7144130999995468
case_089,4,262144,250,178160,716160,0,1118720,1.0,1,0.6827199999997902
case_089,4,262144,500,178160,716160,0,1118720,1.0,1,0.8042201999996905
case_089,4,1048576,60,178160,716160,0,1118720,1.0,1,0.814396100000522
case_089,4,1048576,250,178160,716160,0,1118720,1.0,0,3.3000005714711733e-06
case_089,4,1048576,500,178160,716160,0,1118720,1.0,1,0.8287283999998181
case_089,4,4194304,60,178160,716160,0,1118720,1.0,1,0.7882695000007516
case_089,4,4194304,250,178160,716160,0,1118720,1.0,1,0.7237778999997317
case_089,4,4194304,500,178160,716160,0,1118720,1.0,1,0.6792768000004799
case_094,4,262144,60,23618,318816,208224,581920,1.0,1,0.07945000000017899
case_094,4,262144,250,23618,318816,166752,623392,1.0,1,0.058021800000460644
case_094,4,262144,500,23618,318816,157536,632608,1.0,1,0.05655079999996815
case_094,4,1048576,60,23618,318816,318816,471328,1.0,1,0.06093630000032135
case_094,4,1048576,250,23618,318816,295776,494368,1.0,0,3.000000106112566e-06
case_094,4,1048576,500,23618,318816,286560,503584,1.0,1,0.05943279999974038
case_094,4,4194304,60,23618,318816,318816,471328,1.0,1,0.05867870000020048
case_094,4,4194304,250,23618,318816,295776,494368,1.0,1,0.07198049999988143
case_094,4,4194304,500,23618,318816,286560,503584,1.0,1,0.05883400000038819
case_098,4,262144,60,46495,278728,65546,910994,1.0000215081515895,1,0.1535446999996566
case_098,4,262144,250,46495,278728,65546,910994,1.0000215081515895,1,0.14255690000027244
case_098,4,262144,500,46495,278728,65546,910994,1.0000215081515895,1,0.15284580000025016
case_098,4,1048576,60,46495,278728,278538,698002,1.0000215081515895,1,0.14094629999999597
case_098,4,1048576,250,46494,278728,278538,698002,1.0,0,2.600000698294025e-06
case_098,4,1048576,500,46494,278728,278538,698002,1.0,1,0.18141209999976127
case_098,4,4194304,60,46495,278728,278538,698002,1.0000215081515895,1,0.16021679999994376
case_098,4,4194304,250,46494,278728,278538,698002,1.0,1,0.1885571999991953
case_098,4,4194304,500,46494,278728,278538,698002,1.0,1,0.18198599999959697
case_099,4,262144,60,415396,6991872,3850240,5675264,1.0014827101530688,1,1.375811399999293
case_099,4,262144,250,415419,6991872,3850240,5675264,1.0015381611018828,1,1.2618242999997165
case_099,4,262144,500,415418,6991872,3854336,5671168,1.0015357501910647,1,1.1582274000002144
case_099,4,1048576,60,415175,6991872,6062080,3463424,1.0009498988622911,1,1.334274099999675
case_099,4,1048576,250,414781,6991872,6062080,3463424,1.0,0,5.500000042957254e-06
case_099,4,1048576,500,414778,6991872,6070272,3455232,0.999992767267546,1,1.1476120999996056
case_099,4,4194304,60,415375,6991872,6979584,2545920,1.0014320810258908,1,1.314589800000249
case_099,4,4194304,250,414324,6991872,6983680,2541824,0.9988982137561749,1,1.1433102999999392
case_099,4,4194304,500,414270,6991872,6991872,2533632,0.9987680245720031,1,1.1723581999995076
