case,q,k,selected,effective_origin,seed_makespan,selected_makespan,cycles_saved,fraction_saved,added_copy_bytes
case_001,1,2,local,local,173100,116868,56232,0.3248526863084922,1152
case_001,1,3,local,local,126372,78545,47827,0.37846200107618777,2304
case_001,1,4,local,local,102300,58984,43316,0.4234213098729228,3456
case_001,1,5,local,local,88140,47502,40638,0.4610619469026549,4608
case_001,2,2,a2_b1,a2_b1,116868,116868,0,0.0,1152
case_001,2,3,a2_b1,a2_b1,78545,78545,0,0.0,2304
case_001,2,4,a2_b1,a2_b1,58984,58984,0,0.0,3456
case_001,2,5,a2_b1,a2_b1,47502,47502,0,0.0,4608
case_001,3,2,a2_b1,a2_b1,116868,116868,0,0.0,1152
case_001,3,3,a2_b1,a2_b1,78545,78545,0,0.0,2304
case_001,3,4,a2_b1,a2_b1,58984,58984,0,0.0,3456
case_001,3,5,a2_b1,a2_b1,47502,47502,0,0.0,4608
case_002,1,2,budget_0.05,budget_0.05,181748,158851,22897,0.12598212910183326,1026048
case_002,1,3,budget_0.05,budget_0.05,143444,117831,25613,0.1785574858481359,1029120
case_002,1,4,budget_0.05,budget_0.05,119055,91859,27196,0.22843223720129346,1029120
case_002,1,5,budget_0.05,budget_0.05,102410,78568,23842,0.2328092959671907,1032192
case_002,2,2,release_order_8,release_order_8,138182,137782,400,0.0028947330332460552,592896
case_002,2,3,a2_b1,a2_b1,94600,94600,0,0.0,755712
case_002,2,4,a2_b1,a2_b1,72564,72564,0,0.0,841728
case_002,2,5,a2_b1,a2_b1,59380,59380,0,0.0,872448
case_002,3,2,release_order_8,release_order_8,138182,137782,400,0.0028947330332460552,592896
case_002,3,3,a2_b1,a2_b1,94600,94600,0,0.0,755712
case_002,3,4,a2_b1,a2_b1,72564,72564,0,0.0,841728
case_002,3,5,a2_b1,a2_b1,59380,59380,0,0.0,872448
case_003,1,2,budget_0.10,budget_0.10,1066580,425911,640669,0.6006759924243845,9495954
case_003,1,3,budget_0.10,budget_0.10,751217,360291,390926,0.5203902467595914,9541328
case_003,1,4,inherit_previous_core,budget_0.10,620747,360291,260456,0.41958479058295894,9541328
case_003,1,5,inherit_previous_core,budget_0.10,544600,360291,184309,0.3384300403966214,9541328
case_003,2,2,a2_b1,a2_b1,320163,320163,0,0.0,5923466
case_003,2,3,a2_b1,a2_b1,252754,252754,0,0.0,8800080
case_003,2,4,traffic_price,traffic_price,241177,236552,4625,0.019176787172906162,7789266
case_003,2,5,traffic_price,traffic_price,255605,222873,32732,0.12805696289196222,8430748
case_003,3,2,cache_order_1,cache_order_1,318471,317546,925,0.002904503078773213,5923466
case_003,3,3,a2_b1,a2_b1,243478,243478,0,0.0,8800080
case_003,3,4,a2_b1,a2_b1,218303,218303,0,0.0,10329558
case_003,3,5,traffic_price,traffic_price,216091,206240,9851,0.0455872757310577,8430748
case_004,1,2,local,local,289507,199074,90433,0.3123689582635307,110592
case_004,1,3,local,local,263895,134043,129852,0.49205934178366395,221184
case_004,1,4,local,local,252303,104188,148115,0.5870520762733697,331776
case_004,1,5,local,local,247003,88341,158662,0.6423484735003219,442368
case_004,2,2,a2_b1,a2_b1,199074,199074,0,0.0,110592
case_004,2,3,a2_b1,a2_b1,134043,134043,0,0.0,221184
case_004,2,4,a2_b1,a2_b1,104188,104188,0,0.0,331776
case_004,2,5,a2_b1,a2_b1,88341,88341,0,0.0,442368
case_004,3,2,a2_b1,a2_b1,199074,199074,0,0.0,110592
case_004,3,3,a2_b1,a2_b1,134043,134043,0,0.0,221184
case_004,3,4,a2_b1,a2_b1,104188,104188,0,0.0,331776
case_004,3,5,a2_b1,a2_b1,88341,88341,0,0.0,442368
case_005,1,2,budget_0.10,budget_0.10,284787,90554,194233,0.6820290252012908,2061314
case_005,1,3,inherit_previous_core,budget_0.10,209007,90554,118453,0.5667417837680078,2061314
case_005,1,4,inherit_previous_core,budget_0.10,172933,90554,82379,0.47636367841880956,2061314
case_005,1,5,inherit_previous_core,budget_0.10,152077,90554,61523,0.40455164160260926,2061314
case_005,2,2,a2_b1,a2_b1,60339,60339,0,0.0,2100518
case_005,2,3,traffic_price,traffic_price,64983,59344,5639,0.08677654155702264,1762700
case_005,2,4,traffic_price,traffic_price,68347,55691,12656,0.18517272155325037,2200112
case_005,2,5,traffic_price,traffic_price,62894,53557,9337,0.14845613254046486,2245206
case_005,3,2,cache_order_1,cache_order_1,59743,58900,843,0.014110439716786938,2100518
case_005,3,3,traffic_price,traffic_price,60389,58245,2144,0.03550315454801367,1762700
case_005,3,4,cache_price,cache_price,60118,51275,8843,0.14709404837153595,2133456
case_005,3,5,traffic_price,traffic_price,53772,49333,4439,0.08255225768057728,2245206
case_006,1,2,budget_0.05,budget_0.05,52882,47700,5182,0.09799175522862225,243944
case_006,1,3,budget_0.05,budget_0.05,36156,33275,2881,0.0796824870007744,243944
case_006,1,4,budget_0.05,budget_0.05,28864,26549,2315,0.08020371396895787,243944
case_006,1,5,budget_0.05,budget_0.05,25955,23252,2703,0.10414178385667505,298862
case_006,2,2,a2_b1,a2_b1,40013,40013,0,0.0,60360
case_006,2,3,a2_b1,a2_b1,28172,28172,0,0.0,172384
case_006,2,4,a4_b0,a4_b0,22206,22187,19,0.0008556246059623351,536532
case_006,2,5,a2_b1,a2_b1,19598,19598,0,0.0,310456
case_006,3,2,a2_b1,a2_b1,40013,40013,0,0.0,60360
case_006,3,3,a2_b1,a2_b1,28169,28169,0,0.0,172384
case_006,3,4,a4_b0,a4_b0,21631,21525,106,0.004900374462576851,536532
case_006,3,5,cache_order_1,cache_order_1,18888,18615,273,0.01445362134688688,310456
case_007,1,2,local,local,659110,507494,151616,0.23003140598686111,27648
case_007,1,3,local,local,476830,338094,138736,0.29095484763962,55296
case_007,1,4,local,local,390534,254398,136136,0.3485893673790246,82944
case_007,1,5,local,local,365534,203834,161700,0.4423665103656568,110592
case_007,2,2,a2_b1,a2_b1,507494,507494,0,0.0,27648
case_007,2,3,a2_b1,a2_b1,338094,338094,0,0.0,55296
case_007,2,4,a2_b1,a2_b1,254398,254398,0,0.0,82944
case_007,2,5,a2_b1,a2_b1,203834,203834,0,0.0,110592
case_007,3,2,a2_b1,a2_b1,507494,507494,0,0.0,27648
case_007,3,3,a2_b1,a2_b1,338094,338094,0,0.0,55296
case_007,3,4,a2_b1,a2_b1,254398,254398,0,0.0,82944
case_007,3,5,a2_b1,a2_b1,203834,203834,0,0.0,110592
case_008,1,2,local,local,282320,244266,38054,0.13479030886936805,0
case_008,1,3,local,local,199304,163359,35945,0.1803526271424557,0
case_008,1,4,local,local,157796,123060,34736,0.22013232274582373,0
case_008,1,5,local,local,134736,100603,34133,0.2533324427027669,0
case_008,2,2,a2_b1,a2_b1,244266,244266,0,0.0,0
case_008,2,3,a2_b1,a2_b1,163359,163359,0,0.0,0
case_008,2,4,a2_b1,a2_b1,123060,123060,0,0.0,0
case_008,2,5,a2_b1,a2_b1,100603,100603,0,0.0,0
case_008,3,2,a2_b1,a2_b1,244266,244266,0,0.0,0
case_008,3,3,a2_b1,a2_b1,163359,163359,0,0.0,0
case_008,3,4,a2_b1,a2_b1,123060,123060,0,0.0,0
case_008,3,5,a2_b1,a2_b1,100603,100603,0,0.0,0
case_009,1,2,budget_0.05,budget_0.05,295167,99793,195374,0.661910037368676,602250
case_009,1,3,inherit_previous_core,budget_0.05,207154,99793,107361,0.5182666035896,602250
case_009,1,4,inherit_previous_core,budget_0.05,183578,99793,83785,0.4564000043578207,602250
case_009,1,5,inherit_previous_core,budget_0.05,161572,99793,61779,0.3823620429282302,602250
case_009,2,2,a2_b1,a2_b1,85594,85594,0,0.0,517094
case_009,2,3,a2_b1,a2_b1,64805,64805,0,0.0,772460
case_009,2,4,a4_b0,a4_b0,56022,55453,569,0.010156724144086304,914162
case_009,2,5,a4_b0,a4_b0,51946,51379,567,0.010915181149655395,864856
case_009,3,2,a2_b1,a2_b1,85594,85594,0,0.0,517094
case_009,3,3,a2_b1,a2_b1,64756,64756,0,0.0,772460
case_009,3,4,a4_b0,a4_b0,55558,55199,359,0.006461715684509928,914162
case_009,3,5,a4_b0,a4_b0,51696,50996,700,0.013540699473847062,864856
case_010,1,2,budget_0.05,budget_0.05,58108,51360,6748,0.11612858814621052,482672
case_010,1,3,budget_0.05,budget_0.05,40151,35637,4514,0.11242559338497171,503398
