q,k,comparison,group_type,group,cases,mean_ratio,median_ratio,min_ratio,worst_case,faster,equal,slower
1,1,单核基准,计算节点规模,第1四分位，552—1098,25,1.0,1.0,1.0,case_001,0,25,0
1,1,单核基准,计算节点规模,第2四分位，1115—3696,25,1.0,1.0,1.0,case_002,0,25,0
1,1,单核基准,计算节点规模,第3四分位，3745—7008,25,1.0,1.0,1.0,case_005,0,25,0
1,1,单核基准,计算节点规模,第4四分位，7360—35705,25,1.0,1.0,1.0,case_003,0,25,0
1,1,单核基准,计算关键路径,第1四分位，400—2484,25,1.0,1.0,1.0,case_001,0,25,0
1,1,单核基准,计算关键路径,第2四分位，2506—5980,25,1.0,1.0,1.0,case_002,0,25,0
1,1,单核基准,计算关键路径,第3四分位，6300—23904,25,1.0,1.0,1.0,case_005,0,25,0
1,1,单核基准,计算关键路径,第4四分位，27474—863040,25,1.0,1.0,1.0,case_003,0,25,0
1,1,单核基准,弱连通分量,单分量,16,1.0,1.0,1.0,case_002,0,16,0
1,1,单核基准,弱连通分量,多分量,84,1.0,1.0,1.0,case_001,0,84,0
1,2,单核基准,计算节点规模,第1四分位，552—1098,25,1.8058637886198945,1.9184761660028267,1.0,case_064,22,3,0
1,2,单核基准,计算节点规模,第2四分位，1115—3696,25,1.8216654294229575,1.9749544626593807,1.1484475131268863,case_048,25,0,0
1,2,单核基准,计算节点规模,第3四分位，3745—7008,25,1.7157572774881025,1.911487758945386,1.0,case_086,24,1,0
1,2,单核基准,计算节点规模,第4四分位，7360—35705,25,1.7454934151911137,1.890354868223548,1.0,case_047,23,2,0
1,2,单核基准,计算关键路径,第1四分位，400—2484,25,1.9164422459906085,1.9946435294520313,1.0,case_069,23,2,0
1,2,单核基准,计算关键路径,第2四分位，2506—5980,25,1.8693264554015325,1.9908933320107882,1.0,case_064,24,1,0
1,2,单核基准,计算关键路径,第3四分位，6300—23904,25,1.6449358638051397,1.8329741144710774,1.0,case_047,22,3,0
1,2,单核基准,计算关键路径,第4四分位，27474—863040,25,1.6580753455247874,1.693073236303699,1.1484475131268863,case_048,25,0,0
1,2,单核基准,弱连通分量,单分量,16,1.2910109171405288,1.4184981879527365,1.0,case_047,11,5,0
1,2,单核基准,弱连通分量,多分量,84,1.8638490844500386,1.9848782075368883,1.0,case_056,83,1,0
1,3,单核基准,计算节点规模,第1四分位，552—1098,25,2.542545372531302,2.7456267995913186,1.0,case_064,22,3,0
